50,41,32,23,14,5,14,23,32,41,50,59,68,10000,10000,10000,10000,10000,10000,10000,
49,40,31,22,13,4,13,22,31,40,49,58,67,10000,10000,10000,10000,10000,10000,10000,
48,39,30,21,12,3,12,21,30,39,48,57,66,10000,10000,10000,10000,10000,10000,10000,
47,38,29,20,11,2,11,20,29,38,47,56,65,10000,10000,10000,10000,10000,10000,10000,
46,37,28,19,10,1,10,19,28,37,46,55,64,10000,10000,10000,10000,10000,10000,10000,
45,36,27,18,9,0,9,18,27,36,45,54,63,10000,10000,10000,10000,10000,10000,10000,
44,35,26,17,8,1,8,17,26,35,44,53,62,71,10000,10000,10000,10000,10000,10000,
43,34,25,16,7,2,7,16,25,34,43,52,61,70,10000,10000,10000,10000,10000,10000,
42,33,24,15,6,3,6,15,24,33,42,51,60,69,10000,10000,10000,10000,10000,10000,
41,32,23,14,5,4,5,14,23,32,41,50,59,68,10000,10000,10000,10000,10000,10000,
40,31,22,13,4,4,4,13,22,31,40,49,58,67,10000,10000,10000,10000,10000,10000,
39,30,21,12,3,3,3,12,21,30,39,48,57,66,10000,10000,10000,10000,10000,10000,
38,29,20,11,2,2,2,11,20,29,38,47,56,65,10000,10000,10000,10000,10000,10000,
37,28,19,10,3,1,3,10,19,28,37,46,55,64,10000,10000,10000,10000,10000,10000,
36,27,18,9,2,2,2,9,18,27,36,45,54,63,10000,10000,10000,10000,10000,10000,
35,26,17,8,3,3,3,8,17,26,35,44,53,62,10000,10000,10000,10000,10000,10000,
34,25,16,7,4,4,4,7,16,25,34,43,52,61,70,10000,10000,10000,10000,10000,
33,24,15,6,5,5,5,6,15,24,33,42,51,60,69,10000,10000,10000,10000,10000,
32,23,14,5,5,5,5,5,14,23,32,41,50,59,68,10000,10000,10000,10000,10000,
33,24,15,6,4,4,4,6,15,24,33,42,51,60,69,10000,10000,10000,10000,10000,
