1.633376,5.478557,1.944301,1.202754,4.488842,
1.403176,4.400072,0.154732,0.711204,2.822974,
1.457153,5.932979,3.558385,0.640877,5.979109,
1.164879,5.981699,5.843793,1.533782,1.409972,
1.496122,1.078190,3.438995,6.096740,5.536321,
1.275061,5.128775,1.146411,5.354076,1.806812,
0.924807,1.994868,2.788473,1.289993,6.267063,
1.611826,0.439964,1.927643,3.995104,5.377988,
1.429508,0.001565,0.004507,1.285318,3.336367,
1.147528,1.033626,0.915088,4.257593,2.331985,
1.582875,0.984967,0.318282,0.478819,4.621544,
0.565527,1.496855,1.697353,4.982359,1.187762,
0.591908,0.395113,2.159964,1.048884,4.894388,
1.311767,6.239789,2.756157,4.309987,0.461292,
0.686433,0.728213,4.239263,2.508378,3.042099,
1.869978,0.934188,1.667711,1.680750,4.402405,
1.828057,0.462994,1.178987,2.642053,4.751141,
1.150426,5.428715,0.874158,1.019624,2.688677,
1.695793,3.075011,2.970260,5.133490,2.447471,
0.746498,1.969220,6.259319,2.985396,3.704889,
