1.365833,2.260721,0.235994,3.478184,3.331688,
0.522076,2.465159,5.480501,0.420178,5.436374,
0.313373,1.779132,0.876042,5.556331,1.202167,
0.584550,2.951162,0.890424,1.835914,4.546018,
0.134968,0.693473,1.619443,3.424085,3.850741,
1.502056,0.575475,2.804032,4.231323,0.254401,
1.328205,1.554667,0.768079,4.970330,0.567609,
1.452973,5.705648,2.079524,3.255953,3.933006,
1.672240,2.234659,0.061534,4.255714,3.214858,
0.314833,2.035577,1.096819,1.636678,5.648307,
0.058063,0.018898,2.637556,6.044747,2.304151,
0.812620,2.453266,2.388652,6.064166,0.468766,
0.552306,2.877301,1.182261,1.333945,2.178264,
1.191658,1.975379,0.836991,2.331408,4.052635,
1.033114,2.060069,1.091141,5.496735,0.517857,
1.615852,2.866417,6.224489,5.402769,0.249257,
0.586909,2.145727,1.752947,5.730869,3.138416,
1.179326,4.027031,1.167322,2.734992,2.224528,
1.707477,5.768942,1.579046,3.825618,6.149110,
0.538536,3.140724,1.023866,2.493055,3.111325,
